feature,importance
symbol=FXSUSDT,1.1123541833160826e-08
symbol=RUNEUSDT,1.1110100628661471e-08
symbol=TKOUSDT,1.1055009581341788e-08
symbol=EDUUSDT,1.1047695578865217e-08
symbol=APEUSDT,1.1032671142690632e-08
symbol=JTOUSDT,1.1009523435747503e-08
symbol=ETHFIUSDT,1.1005864351281736e-08
symbol=OGNUSDT,1.1000316504188916e-08
symbol=CAKEUSDT,1.0988632422699433e-08
symbol=ARUSDT,1.096439761749628e-08
symbol=NKNUSDT,1.09236374876309e-08
symbol=SSVUSDT,1.0916318615262393e-08
symbol=LAYERUSDT,1.0898861115946435e-08
symbol=SLPUSDT,1.089733328384749e-08
symbol=FETUSDT,1.0889361315853825e-08
symbol=OMNIUSDT,1.0887635262544424e-08
symbol=IOSTUSDT,1.0887050576203774e-08
symbol=XAIUSDT,1.088301622516386e-08
symbol=COOKIEUSDT,1.0850946535528963e-08
symbol=NFPUSDT,1.0846235089733452e-08
symbol=KSMUSDT,1.080393267965789e-08
symbol=PNUTUSDT,1.0793353508337853e-08
symbol=GALAUSDT,1.0783936613200051e-08
symbol=AGLDUSDT,1.0769575762124439e-08
symbol=EPXUSDT,1.07432668017473e-08
symbol=SOMIUSDT,1.073258954148597e-08
symbol=IRISUSDT,1.0723415951371952e-08
symbol=TRBUSDT,1.0694517349546063e-08
symbol=ASTERUSDT,1.0681556385670643e-08
drop_mean,9.249702404694114e-09
symbol=JOEUSDT,9.239429790371817e-09
symbol=TAOUSDT,8.815600150986853e-09
symbol=WUSDT,7.745709031119403e-09
symbol=PENDLEUSDT,7.642873906911854e-09
symbol=QUICKUSDT,7.547380427494185e-09
symbol=KMNOUSDT,6.309171955640497e-09
symbol=BMTUSDT,6.305357804394365e-09
symbol=SUSDT,6.303378528004546e-09
symbol=TONUSDT,6.301304944883709e-09
symbol=PUNDIXUSDT,6.301125047973814e-09
symbol=YBUSDT,6.2992934081073195e-09
symbol=GMTUSDT,6.29924671291542e-09
symbol=SKYUSDT,6.29797894011683e-09
symbol=KP3RUSDT,6.294390448811683e-09
symbol=HFTUSDT,6.2902861681975465e-09
symbol=BROCCOLI714USDT,6.290120912934755e-09
symbol=CUSDT,6.28998991604149e-09
symbol=BANANAUSDT,6.289705838477178e-09
symbol=BADGERUSDT,6.288555040024973e-09
symbol=ALPHAUSDT,6.288353459186077e-09
symbol=DOTUSDT,6.288106398534891e-09
symbol=LPTUSDT,6.287998017607631e-09
symbol=OPENUSDT,6.287452331580574e-09
symbol=MATICUSDT,6.283448885406106e-09
symbol=BTCUPUSDT,6.281422502131292e-09
symbol=TUTUSDT,6.279718458090592e-09
symbol=SHELLUSDT,6.2786216924968925e-09
symbol=SOPHUSDT,6.2754382398376484e-09
symbol=MOVEUSDT,6.274521671439744e-09
symbol=BIOUSDT,6.274303657646968e-09
symbol=LISTAUSDT,6.27263446196163e-09
symbol=STGUSDT,6.271043342780256e-09
symbol=REDUSDT,6.269289043466041e-09
symbol=XMRUSDT,6.269097270419923e-09
symbol=HARDUSDT,6.267076050320177e-09
symbol=A2ZUSDT,6.266801326682287e-09
symbol=XEMUSDT,6.2665217453275435e-09
symbol=BONDUSDT,6.265910865801702e-09
symbol=KAITOUSDT,6.263002733003158e-09
symbol=KEYUSDT,6.2627248194193176e-09
symbol=PENGUUSDT,6.262531024007793e-09
symbol=BABYUSDT,6.261425229762253e-09
symbol=RSRUSDT,6.259360911379094e-09
symbol=STEEMUSDT,6.2585491610937884e-09
symbol=VICUSDT,6.257393108194068e-09
symbol=COMBOUSDT,6.256106386152563e-09
symbol=BANANAS31USDT,6.255324754438902e-09
symbol=NMRUSDT,6.254258157062703e-09
symbol=SXTUSDT,6.253413373291221e-09
symbol=PHBUSDT,6.252376689870728e-09
symbol=BERAUSDT,6.246767599581688e-09
symbol=FORUSDT,6.246497891592223e-09
symbol=THEUSDT,6.244808105488929e-09
symbol=AIXBTUSDT,6.240749282858816e-09
symbol=MDXUSDT,6.23951190695881e-09
symbol=BLURUSDT,6.237930893637279e-09
symbol=VANAUSDT,6.237925372610719e-09
symbol=AXLUSDT,6.234088212073101e-09
symbol=ANIMEUSDT,6.2334935699938575e-09
symbol=UTKUSDT,6.23329285091192e-09
symbol=PONDUSDT,6.232561962069611e-09
symbol=OSMOUSDT,6.231265907976085e-09
symbol=XECUSDT,6.230212807691103e-09
symbol=BETAUSDT,6.230009076271654e-09
symbol=LITUSDT,6.228012691760565e-09
symbol=OAXUSDT,6.226770369965108e-09
symbol=LUNCUSDT,6.226769328775146e-09
symbol=RPLUSDT,6.224574230020325e-09
symbol=LEVERUSDT,6.22173288610187e-09
symbol=ZKUSDT,6.217251431067705e-09
symbol=LSKUSDT,6.2139732432383444e-09
symbol=LAZIOUSDT,6.213594650926478e-09
symbol=ADXUSDT,6.2121300245970375e-09
symbol=ATAUSDT,6.212103543004448e-09
symbol=XVSUSDT,6.208906958611328e-09
symbol=MASKUSDT,6.206764887979958e-09
symbol=WBETHUSDT,6.206586889670168e-09
symbol=ASTUSDT,6.206081428879693e-09
symbol=ETHUSDT,6.205605931985894e-09
symbol=REQUSDT,6.204023742914802e-09
symbol=TIAUSDT,6.197828504357036e-09
symbol=TROYUSDT,6.197310680886251e-09
symbol=EOSUSDT,6.19689859304683e-09
symbol=1MBABYDOGEUSDT,6.1955800580855935e-09
symbol=GUSDT,6.189739934972707e-09
symbol=VANRYUSDT,6.189391186980221e-09
symbol=C98USDT,6.187719931989026e-09
symbol=ARKUSDT,6.1862163905484294e-09
symbol=CHRUSDT,6.1849354393849986e-09
symbol=ERNUSDT,6.181478409839414e-09
symbol=MANTAUSDT,6.178765225904301e-09
symbol=BARUSDT,6.178248949875208e-09
symbol=KDAUSDT,6.1764519501848785e-09
symbol=1000SATSUSDT,6.1710504155412685e-09
symbol=WINGUSDT,6.168446706363145e-09
symbol=ORDIUSDT,6.164066013887532e-09
symbol=PYRUSDT,6.162417683949181e-09
